EAN,Item Description,Chain name
8907122008438,VLCC Multani Mitti Face Pack,396121
8907122009268,VLCC  Aleo Vera Gel 100GM,396120
8907122008445,VLCC White & Bright Glw Gl Crm,396124
8907122011513,VLCC YOUTH ST BODYLOTION 400ML,396128
8907122011520,VLCC YOUTH  BODYLOTION 100ML,396129
8907122011544,VLCC DAMGE RPAIR BDY LTN 400ML,396132
8907122011551,VLCC DAMGE RPAIR BDY LTN 100ML,396119
8907122011575,VLCC COCOA BUTTER GLOW 400ML,396117
8907122011582,VLCC COCOA BUTTER GLOW 100ML,396122
8907122011841,VLCC 3 in1 INTNSV CLD CRM 10GM,396123
8907122011858,VLCC NOURISHMENT FRT CRM 15GM,396125
8907122011728,VLCC Ayurvda Neem18ml 12 Strip,396127
8907122011681,VLCC Vasoplus Petroleum Jelly,396130
