FG code,Article Des,EAN Code,Size,Final MRP,Category
F0568-001,VLCC GLAM & GLO 10 in 1  Skin Perfector (Light to fair) 30ml,8907122011735,30ML,150,Skin Care
F0569-001,VLCC GLAM & GLO 10 in 1  Skin Perfector (Medium skin tone) 3,8907122011742,30ML,150,Skin Care
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Balm
F0559-001,VLCC OIL INFUSED TOTAL NOURISHMENT FRUIT CREAM 200GM,8907122011636,200GM,140,Mass Range
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Mass Range
T0330-001,Vaso Plus Petroleum Jelly,8907122011681,42GM,50,Skin Care
T0333-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,8907122011483,400ML,345,Skin Care
F0553-002,Detan Glow Body Lotion (B1G1) 400ML,8907122011575,400ML,399,Skin Care
F0465-001,VLCC Ultimo Blends Whitening & Detixifying Face Pack,8907122011445,100GM,350,Skin Care
F0525-001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask,8907122011001,100GM,350,Skin Care
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel,8907122009268,100GM,85,Ayurveda Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0309-001,Skin Whitening Facial Kit,8907122002986,Kit,99,MFK
F0397-001,Insta Fair & Glow Cold Cream,,,240,Skin Care
F0371-003,Natural Fair Kesar & Chandan FW 100ml + KC 50ml Free,8907122006113,100ml,99,Ayurveda F/w
F0328-002,Tulsi Face Wash + Orange Oil Face Wash,8907122003761,150ml,199,Skin Care
F0367-003,Skin Bright Haldi & Chandan FW 100ml + HC 50ml Free,8907122006076,100ml,99,Ayurveda F/w
F0232-001,Walnut Scrub 80g,8907122003099,80GM,180,Skin Care
F0038-001,VLCC Insta Glow Gold Bleach,8907122000050,60GM,100,Bleach
F0310-001,Skin Glow Facial Kit,8907122002993,Kit,99,MFK
F0369-003,Double Power Double Neem FW 100ml + Neem 50ml Free,8907122006090,100ml,99,Ayurveda F/w
T0001-003,VLCC KAJAL  2.5 GM(BUY 1 GET1),8906008451009,2.5gm,155,Eye Care
F0127-001,Men Active Light FairnessMoisturiser - 100 gm,,100GM,180,Skin Care
F0220-001,Snigdha Skin Whitening Spot Fading Serum-40 ml,8907122003372,50ml,450,Skin Care
T0001-003,VLCC KAJAL  2.5 GM(BUY 1 GET1),8906008451009,2.5gm,155,Eye Care
F0220-001,Snigdha Skin Whitening Spot Fading Serum-40 ml,8907122003372,50ml,450,Skin Care
F0216-001,Snigdha Skin Whitening Night Cream-50 gm,8907122003365,50GM,450,Skin Care
T0146-001,GlamorWave Cream Renewal 35 ml,,35ml,219,Skin Care
F0319-002,Hair Fall Control Shampoo 350ml (B1G1),8906008459487,350ml,295,Hair Care
T0310-002,VLCC Ayurveda Smooth and Shine Shampoo 350ml +100ml Conditioner Free,,350 Ml,220,Hair Care
F0034-001,Insta Glow Gold Bleach,8906008456554,30gm,60,Bleach
F0097-019,GOLD FACIAL KIT 6 steps Tube WG 20g,8906008458022,1KIT,250,Single Facial kit
