FG Code,Itemname,EAN Code,SKU,MRP,Category
F0094-018,VLCC ANTI TAN SINGLE FACIAL KIT,8906008458374,KIT,250,Single Kit
F0096-016,VLCC Fruit Facial Kit-Single 100G,8906008458466,KIT,250,Single Kit
F0101-009,VLCC Silver Facial Kit,8906008459715,KIT,250,Single Kit
F0387-001,VLCC Fruit Kit,8906008452907,KIT,400,Regular kit
F0091-001,VLCC Detan Facial Kit,8906008452761,KIT,400,Regular kit
F0088-001,VLCC Skin Tightning Facial Kit,8906008452822,KIT,400,Regular kit
F0048-001,VLCC Pedi Glow Foot Care Kit,8906008455069,KIT,550,Regular kit
F0356-001,Papaya Fruit Facial Kit 5 Session,8907122005659,300Gm,600,Regular kit
F0357-001,Party Glow Facial Kit 5 Session,8907122005666,300Gm,600,Regular kit
F0355-001,Anti Tan Facial Kit 5 Session,8907122005642,300Gm,600,Regular kit
F0080-001,VLCC Gold Facial Kit-6,8906008458350,KIT,1300,Premium Kit
F0079-001,VLCC Diamond Kit,8906008453058,KIT,1600,Premium Kit
T0036-005,VLCC Daily protect Lip balm Strawberry 4.5GM,8907122001835,4.5GM,125,Lip Care
F0542-001,Hydrating Lip Balm Strip of 6,8907122011414,10GM*6,150,Lip Care
F0541-001,Strawberry Lip Balm Strip of 6,8907122011407,10GM*6,150,Lip Care
F0540-001,Cocoa Butter Lip Balm Strip of 6,8907122011391,10GM*6,150,Lip Care
F0185-001,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,8906008460438,150ML,250,International
F0187-001,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,8906008460469,150ML,250,International
F0056-001,VLCC Hair Fall Repair Oil 100ML,8906008459579,100ML,155,Hair Care
F0321-002,Nourishing & Silky Shine Shampoo 350ML (B1G1),8906008459517,350ml,295,Hair Care
F0319-002,Hair Fall ControlShampoo 350ml (B1G1),8906008459487,350ml,295,Hair Care
F0320-002,VLCC Dandruff Control Shampoo-350ml,8906008459456,350ML,295,Hair Care
F0055-001,VLCC Hair Strengthening Oil 100ml,8906008459562,100ML,400,Hair Care
T0291-001,VLCC Henna Set of 2  240g,8906008460476,100gm,89,Hair Care
T0270-001,VLCC Henna 100gm,8906008451665,100GM,50,Hair Care
T0311-001,VLCC Ayurveda Anti Hair Fall Shampoo,8907122009978,350ML,220,Hair Care
T0309-001,VLCC Ayurveda Intense Nourishing Shampoo,8907122009992,350ML,220,Hair Care
F0032-001,VLCC Herbal Bleach Retail 27 gm,8906008458428,27GM,50,Bleach
F0034-001,Insta Glow Gold Bleach,8906008456554,30gm,60,Bleach
F0031-001,VLCC Insta Glow Bleach -21 gm,8906008453331,21GM,60,Bleach
F0033-001,VLCC Diamond Bleach 30gm,8907122001439,30GM,70,Bleach
F0038-001,VLCC Insta Glow Gold Bleach - 60 gm,8907122000050,60GM,100,Bleach
F0036-001,VLCC Insta Glow Herbal Bleach - 54 gm,8907122000043,54GM,80,Bleach
F0035-001,VLCC Insta Glow Qxygen Bleach - 51.4 gm,8907122000029,51.4GM,80,Bleach
F0037-001,VLCC Insta Glow Diamond Bleach - 60 gm,8907122000036,60GM,110,Bleach
F0567-001,Ayurveda Double Power Double Neem 18 ml Strip of 12,8907122011728,18ML*12,180,FWs
F0147-001,Shape Up Slimming Oil200 ml,8907122001798,200ML,500,Shape UP
F0140-001,Shape Up Waist & Tummy Trim Gel200 gm,8906008451863,200GM,605,Shape UP
F0350-001,Shape UP B line Cream 100ml,8907122005444,100ML,495,Shape UP
F0326-001,Shape Up 10in1Oil60 ml,8907122003693,60ML,425,Shape UP
F0146-001,Shape Up 10in1Oil100 ml,8907122003686,100ML,700,Shape UP
F0403-001,VLCC AyushMEN Face Wash 50gm,8907122007547,50g,75,Mens Range
F0404-001,VLCC Ayush MEN Face Wash 100 gm,8907122007554,100GM,140,Mens Range
F0405-001,VLCC AyushMEN Scrub 50gm,8907122007561,50g,80,Mens Range
F0406-001,VLCC AyushMEN Moisturiser 50gm,8907122007578,50g,150,Mens Range
F0407-001,VLCC Ayush MEN Moisturiser 100 gm,8907122007585,100gm,275,Mens Range
F0408-001,VLCC Ayush MEN Shaving Gel 60gm,8907122007592,50GM,65,Mens Range
F0466-001,VLCC AyushMEN Shaving Cream 70gm,8907122007608,70gm,30,Mens Range
F0467-001,VLCC AyushMEN Shaving Cream 125gm,8907122007615,125gm,45,Mens Range
F0425-001,VLCC Ayurveda Depigmentation  Cream,8907122008308,50gm,195,Ayurveda Skincare
F0409-001,VLCC AYURVEDA MULTANI MITTI FACE PACK,8907122008438,100gm,120,Ayurveda Skincare
F0424-001,VLCC Ayurveda Anti Ageing Cream,8907122008292,50gm,225,Ayurveda Skincare
F0410-003,VLCC Ayurveda White & Bright Glow Gel Cream,8907122008445,20gm,79,Ayurveda Skincare
F0383-001,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit,8907122006557,50gms,200,Ayurveda Single Kit
F0384-001,Skin Purifying Double Power Double Neem Facial Kit,8907122006564,50gms,200,Ayurveda Single Kit
F0385-001,Skin Brightening Haldi & Chandan Facial Kit,8907122006571,50gms,200,Ayurveda Single Kit
F0415-001,VLCC Ayurveda Dandruff Control Shampoo,8907122008049,100ML,70,Ayurveda Hair Care
F0417-001,VLCC Ayurveda Anti Hair Fall Shampoo,8907122008063,100ML,70,Ayurveda Hair Care
F0421-001,VLCC Ayurveda Intense Nourishing Shampoo,8907122008100,100ML,70,Ayurveda Hair Care
F0419-001,VLCC Ayurveda Smooth and Shine Shampoo,8907122008087,100ML,70,Ayurveda Hair Care
T0285-001,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,8907122008124,100ml,130,Ayurveda Hair Care
T0310-001,VLCC Ayurveda Smooth and Shine Shampoo,8907122009985,350ml,220,Ayurveda Hair Care
