Chain Name,Article ID,Chain & Article Combination,Article DESC,FG,MRP,VLCC Category,VLCC Sub Category,
22,504062,H&G504062,Vl Slimmers Isabgol Pineapple,,,"
","
",
22,504063,H&G504063,Vl Snigdha Face Cream 250Ml,,,"
","
",
22,504064,H&G504064,Snigdha Skin Whitening Day Crm,F0215-001,275,Skin Care,Snighda,
22,504065,H&G504065,Vl Sh Soya Protien 100Ml,,,"
","
",
22,504066,H&G504066,Oil Free Sun Screen Gel Spf15New,,,SunCare,SunCare,
22,504067,H&G504067,Fair+Glow Sun Screen Lotion Spf20 100 Ml,F0428-001,250,SunCare,SunCare,
22,504068,H&G504068,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 100 Gm,F0431-001,310,SunCare,SunCare,
22,504069,H&G504069,Vl Vitalift,,,"
","
",
22,504070,H&G504070,Vl Vitalift 10Ml,,,"
","
",
22,504071,H&G504071,Vl Walnout 100Ml,,,"
","
",
22,504072,H&G504072,Vl Wheat Night Cream 250Ml,,,"
","
",
22,504073,H&G504073,Anti Aging Night Cream- 50 Gm,F0218-001,450,Skin Care,Anti Aging,
22,504074,H&G504074,Wild Turmeric Face Wash 80Ml,F0233-001,148,Skin Care,Face Wash,
22,504075,H&G504075,Vl Wild Turmeric F/Wash 400Ml,,,"
","
",
22,504076,H&G504076,Vl Wild Turmeric F/Wash 500Ml,,,"
","
",
22,510006,H&G510006,Vl Sunshield Hairoil 100Ml,,,"
","
",
22,510487,H&G510487,Hair Fall Repair Oil 100Ml,F0056-001,155,Hair Care,Oil,
22,510488,H&G510488,Hair Strengthening Oil 100 Ml,F0055-001,400,Hair Care,Oil,
22,510489,H&G510489,Vl Black Pepper Msg Oil 200Ml,,,"
","
",
22,510490,H&G510490,Vl Joint Pain Msg Oil 200Ml,,,"
","
",
22,510491,H&G510491,Rose Water Toner 100Ml,F0212-001,170,Skin Care,Toner,
22,510492,H&G510492,Vl Slimmer Atta Plus 1Kg,,,"
","
",
22,513987,H&G513987,Vlcc Kajal 2.5 Gm,T0001-003,155,EyeCare,EyeCare,
22,517707,H&G517707,Dtan Facial Kit,F0091-005,499,Facial Kits,Regular kit,
22,517708,H&G517708,Vl Musc Stres Masage Oil 200M,,,"
","
",
22,518166,H&G518166,Vl Shapeup Twin Kit,,,"
","
",
22,518593,H&G518593,Vl Shape Up Hta Oil 100Ml,,,"
","
",
22,518594,H&G518594,"Shape Up Hips, Thighs & Arms Shaping Oil 200 Ml",,,Shape UP,Shape UP,
22,518595,H&G518595,Vl Shape Up Hta Gel 50Gm,,,"
","
",
22,518596,H&G518596,Vl Shape Up Hta Gel 100Gm,,,"
","
",
22,518597,H&G518597,Vl Shape Up Hta Twin Kit,,,Shape UP,Shape UP,
22,518598,H&G518598,Vl Pediglow Foot Care Crm 50Gm,,,"
","
",
22,518599,H&G518599,Vl Pediglow Foot Scrub 50Gm,,,"
","
",
22,518600,H&G518600,Vl Pediglow Foot Spray 100Ml,,,"
","
",
22,518601,H&G518601,Vl Honey Moisturiser Ltn 200Ml,,,"
","
",
22,518602,H&G518602,Liquorice Cold Cream 50G,F0198-003,145,Skin Care,Creams,
22,521702,H&G521702,Vl Shape Up Chin&Neck Crm100Ml,,,"
","
",
22,521703,H&G521703,Vl Shape Up Bust Firm Crm100Ml,,,"
","
",
22,522782,H&G522782,Shape Up Waist & Tummy Trimgel 200 Ml,,,Shape UP,Shape UP,
22,523703,H&G523703,Almond Under Eye Cream,F0169-001,240,Skin Care,Creams,
22,523704,H&G523704,Instaglow Facial Kit,F0089-006,499,Facial Kits,Regular kit,
22,524673,H&G524673,Vl Aloevera Body Lotion 200Ml,,,"
","
",
22,524674,H&G524674,Vl Hairfall Control Kit,,,"
","
",
22,524675,H&G524675,Protein Conditioning Shampoo200 Ml,,,Hair Care,Shampoo,
22,524676,H&G524676,Dandruff Care & Control Shampoo 350Ml (B1G1),F0320-002,295,Hair Care,Shampoo,
22,524677,H&G524677,Vl Sh Danruff Control 200Ml,,,"
","
",
22,524678,H&G524678,Vl Sh Rosemary 100Ml,,,"
","
",
22,524679,H&G524679,Hair Fall Control Shampoo 350Ml (B1G1),F0319-002,295,Hair Care,Shampoo,
22,524680,H&G524680,Hair Fall Repair Shampoo 200Ml,,,Hair Care,Shampoo,
22,524681,H&G524681,Vl Sh Hibiscus 100Ml,,,"
","
",
22,524751,H&G524751,Vl Depigmentation Facial Kit,,,"
","
",
22,524752,H&G524752,Diamond Facial Kit 6,,,Facial Kits,Premium Kit,
22,524753,H&G524753,Vl Silver Glow Facial Kit 6,,,"
","
",
22,524754,H&G524754,Vl Pearl Fairness Facial Kit,,,"
","
",
22,524755,H&G524755,Gold Facial Kit 6,,,Facial Kits,Premium Kit,
22,524772,H&G524772,Rose Face Scrub 80G,F0210-001,180,Skin Care,Scrub,
22,524773,H&G524773,Fruits Facial Kit,F0387-002,499,Facial Kits,Regular kit,
22,525679,H&G525679,Vl S-Up Pre-Natal Sm Crm 100Ml,,,"
","
",
22,525680,H&G525680,Vl S-Up Pre-Natal Sm Oil 100Ml,,,"
","
",
22,525681,H&G525681,Vl S-Up Post-Natal T&F Msg Oil,,,"
","
",
22,525682,H&G525682,Vl S-Up Post-Natal Sm F&T Crm,,,"
","
",
22,525683,H&G525683,Anti Tan Skin Lightening Facewash New,,,SunCare,SunCare,
22,525684,H&G525684,Vl Dandruff Control Kit 400Ml,,,"
","
",
22,525685,H&G525685,Vl Skin Defence Combi 200Ml,,,"
","
",
22,525686,H&G525686,Vl Lip Shield Cocobutter 10Ml,,,"
","
",
22,526346,H&G526346,Insta Glow Bleach Pack 21G,F0031-001,65,"
","
",
22,526347,H&G526347,Vl Insta Glow Bleach 220Gm,,,"
","
",
22,526348,H&G526348,Vl Ig Fairness Soap 125Gm,,,"
","
",
22,526349,H&G526349,Vl Ig Anti Ageing Soap 125Gm,,,"
","
",
22,526485,H&G526485,Shape Up Waist & Tummy Trimgel 100 Ml,,,Shape UP,Shape UP,
22,526506,H&G526506,Vl Surya Sndspf20+Sk F/W Promo,,,"
","
",
22,526507,H&G526507,Vl Melia F\W+Lavng Moist Promo,,,"
","
",
22,526573,H&G526573,Pearl Facial Kit,,,Facial Kits,Premium Kit,
22,526761,H&G526761,Vl Sh Soya Protn&Cr Wheat Prtn,,,"
","
",
22,526762,H&G526762,Vl Lip Balm Promo,,,"
","
",
22,527125,H&G527125,Vl Insta Glow Bleach 3In1Promo,,,"
","
",
22,527295,H&G527295,Vlcc Ayush Men Face Wash 100 Gm,F0404-001,140,Mens Range,Mens Range,
22,527296,H&G527296,Vl Men Act Fairness Fscrub 100M,,,"
","
",
22,527297,H&G527297,Vl Men Act Fairness Moist 100M,,,"
","
",
22,527298,H&G527298,Vl Men Act Lght Hair&Bw 125Ml,,,"
","
",
22,527299,H&G527299,Vl Men Act Lght Stylng Gel 75M,,,"
","
",
22,527300,H&G527300,Vl Mens Act Lght A Shave Balm,,,"
","
",
22,527531,H&G527531,Vlcc Soap Combo Offer,,,"
","
",
22,527555,H&G527555,Vl Slimmers Honey 125Gm,,,"
","
",
22,527556,H&G527556,Gold Single Facial Kit,F0097-018,250,Facial Kits,Single Kit,
22,527557,H&G527557,Vl Chocolate Facial Kit Single,,,"
","
",
22,527558,H&G527558,Pearl Single Facial Kit,F0099-016,250,Facial Kits,Single Kit,
22,527559,H&G527559,Diamond Single Facial Kit,F0095-020,350,Facial Kits,Single Kit,
22,528573,H&G528573,Vl Sheabutter Moist Soap 125Gm,,,"
","
",
22,528574,H&G528574,Vl Shape Up Shower Gel 180Ml,,,"
","
",
22,528575,H&G528575,Vl Anti Tan Face Scrub 70Gm,,,"
","
",
22,528576,H&G528576,Vl Shape Up Hta Oil+Shw Combo,,,"
","
",
22,528577,H&G528577,Vl Gold Peel Off Mask 80Gm,,,"
","
",
22,528578,H&G528578,De Tan Spf 50 Sunscreen Gel Crème,F0440-001,415,SunCare,SunCare,
22,528579,H&G528579,Vl Shape Up Body Firm Ltn 180M,,,"
","
",
22,528580,H&G528580,Vl After Sun Soothing Gel 70Gm,,,"
","
",
22,528581,H&G528581,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 50 Gm,F0432-001,210,SunCare,SunCare,
22,528582,H&G528582,Vl Gold Scrub 80Gm,,,"
","
",
22,528583,H&G528583,Anti Tan Single Facial Kit,F0094-016,250,Facial Kits,Single Kit,
22,528838,H&G528838,Vl Herb Bleach Salon Pk 220Gm,,,"
","
",
22,528839,H&G528839,Vl Gold Bleach Retail Pk 30G,,,"
","
",
22,528840,H&G528840,Vl Herb Bleach Retail Pk 27Gm,,,"
","
",
22,528841,H&G528841,Vl Spf30 100Ml + Anti Tan Fw,,,"
","
",
22,528842,H&G528842,Vl Gold Bleach Salon Pk 220Gm,,,"
","
",
22,528843,H&G528843,Party Glow Single Facial Kit,F0098-014,250,Facial Kits,Single Kit,
22,529256,H&G529256,Shape Up Slimming Oil 100 Ml,,,Shape UP,Shape UP,
22,529257,H&G529257,Vl Sunscren F&B Ltn Spf50 100M,,,"
","
",
22,530127,H&G530127,Vlcc Cocoa Butter Body Lotion 200 Ml,F0158-004,155,Skin Care,Lotion,
22,530128,H&G530128,Vl Almond Body Ltn 200Ml,,,"
","
",
22,530129,H&G530129,Mulberry Lightening  Body Lotion 200 Ml,,,Skin Care,Lotion,
22,530130,H&G530130,Vlcc Cocoa Butter Body Lotion 350 Ml,,,Skin Care,Lotion,
22,530131,H&G530131,Almond Nourishing Body Lotion 350 Ml,F0162-005,275,Skin Care,Almond Lotion,
22,530132,H&G530132,Mulberry Lightening  Body Lotion 350 Ml,,,Skin Care,Lotion,
22,530133,H&G530133,Vl Aloe Vera Body Ltn 350Ml,,,"
","
",
22,530134,H&G530134,Vl Anti Polltn Ltn Spf15 100Ml,,,"
","
",
22,530135,H&G530135,Vl Clear Sk 2In1 Scrub Pk 50Gm,,,"
","
",
22,530136,H&G530136,Vl Acne Care 2In1 Scrub Pk 50G,,,"
","
",
22,530137,H&G530137,Honey Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,530138,H&G530138,Vl Lip Balm Mango 4.5Gm,,,"
","
",
22,530139,H&G530139,Cherry Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,530140,H&G530140,Vl 3Day Acne Spot Corrector 9M,,,"
","
",
22,530141,H&G530141,Vl Instglow Clear Skin Fw 50Gm,,,"
","
",
22,530142,H&G530142,Vl Dp Anti Pollution Fw 50Gm,,,"
","
",
22,530143,H&G530143,Vl Acne C Oil Contrl Fw 50Gm,,,"
","
",
22,530144,H&G530144,Papaya Fruit Single Facial Kit,F0096-014,250,Facial Kits,Single Kit,
22,530145,H&G530145,Vl Pedicure & Manicure Kit,,,"
","
",
22,531144,H&G531144,Water Resistant Spf60 Sunscreen Gel Crème,F0441-001,525,SunCare,SunCare,
22,531145,H&G531145,Vl Enbright Peeling N Crm 40Gm,,,"
","
",
22,531146,H&G531146,Vl Enbright Tinted Sun Spf25,,,"
","
",
22,531147,H&G531147,Vl Anti Spot Uv Sun Crm Spf 35,,,"
","
",
22,531148,H&G531148,Vl Sweatfre Sun Blk Ltn Spf 40,,,"
","
",
22,531688,H&G531688,Vl Acne Control Kit,,,"
","
",
22,531689,H&G531689,Vl Sh Hair Smoothening 200Ml,,,"
","
",
22,531690,H&G531690,Vl Sh Hair Smoothening 350Ml,,,"
","
",
22,531691,H&G531691,Vl Cr Danruff Control 100Ml,,,"
","
",
22,531692,H&G531692,Vl Shape Up Waist&Tumy+Slimoil,,,"
","
",
22,532258,H&G532258,Alpine Mint & Tea Tree Gentle Refreshing Face Wash,F0185-001,250,Skin Care,Face Wash,
22,532259,H&G532259,Vl Cacti & Litchi Hyd Fw 175Ml,,,"
","
",
22,532260,H&G532260,Vl Fran & Oat Gnt Scrub 150Ml,,,"
","
",
22,532261,H&G532261,Vl Hazel & Rose Gntl Fw 175Ml,,,"
","
",
22,532262,H&G532262,Liquorice & Fenugreek Naturalfairness Face Mask,,,Skin Care,Mask,
22,532263,H&G532263,Mandarin & Tomato Fairness Face Wash,F0187-001,250,Skin Care,Face Wash,
22,532264,H&G532264,Vl Mang & Lemon Gnt Scrub 150M,,,"
","
",
22,532265,H&G532265,Vl Org & Wtr Peel Msk 100Ml,,,"
","
",
22,532266,H&G532266,Vl Pineapl&Papaya Gnt Scrub150,,,"
","
",
22,532267,H&G532267,Vl Pomo & Aloe Gnt Scrub 150Ml,,,"
","
",
22,532268,H&G532268,Vl Straw & Wtr Peel Msk 100Ml,,,"
","
",
22,532269,H&G532269,Vl Wm & Berg Gntl Ex Fw 175Ml,,,"
","
",
22,532322,H&G532322,Vl Lip Shield Mandarin,,,"
","
",
22,532789,H&G532789,Vl Fairness Kit,,,"
","
",
22,532790,H&G532790,Vl Golden Glow Kit,,,"
","
",
22,533371,H&G533371,Orange Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,533372,H&G533372,Strawberry Lip Balm 4.5 Gm,T0036-005,125,Lip Care,Lip Care,
22,533373,H&G533373,Maximum Sun Block Lotion Spf7060 Gm,,,SunCare,SunCare,
22,533374,H&G533374,Silver Single Facial Kit,,,Facial Kits,Single Kit,
22,535098,H&G535098,Vl Almond Bdy Massage Oil 300M,,,"
","
",
22,535099,H&G535099,Vl Aloevera Cream Pack 200G,,,"
","
",
22,535100,H&G535100,Vl Aloevera Soothing Gel 200G,,,Others,Others,
22,535101,H&G535101,Anti Aging Day Creamspf 25 -50 Gm,F0217-001,450,Skin Care,Anti Aging,
22,535102,H&G535102,Anti Aging Vitalift Serum- 40 Ml,F0206-001,475,Skin Care,Anti Aging,
22,535103,H&G535103,De-Pigmentation Day Creamwith Spf 25,,,Depigmentation,Depigmentation,
22,535104,H&G535104,Vl Depigmentation Face Msk 80G,,,"
","
",
22,535105,H&G535105,De-Pigmentation Night Cream- 50 Gm,,,Depigmentation,Depigmentation,
22,535106,H&G535106,Vl Depigmentation Serum 40Ml,,,"
","
",
22,535107,H&G535107,Diamond Detoxifying Wash-Offmask 80G,,,Skin Care,Mask,
22,535108,H&G535108,Vl Diamond Polishng Scrub 80G,,,"
","
",
22,535109,H&G535109,Vl Foot Salt 200G,,,"
","
",
22,535110,H&G535110,Vl Glycea Depigmntin Crm200G,,,"
","
",
22,535111,H&G535111,Vl Green Massage Cream 200G,,,"
","
",
22,535112,H&G535112,Vlcc Insta Glow Diamond 60Gm,F0037-001,125,Bleach,Bleach,
22,535113,H&G535113,Insta Glow Gold Bleach 60 Gm,F0038-001,115,Bleach,Bleach,
22,535114,H&G535114,Insta Glow Herbal Bleach 54 Gm,F0036-001,95,Bleach,Bleach,
22,535115,H&G535115,Vlcc Insta Glow Qxygen 51.4 Gm,F0035-001,95,Bleach,Bleach,
22,535116,H&G535116,Vl Melawhite Gel 200Gm,,,"
","
",
22,535117,H&G535117,Papaya & Apricot Scrub 80G,F0202-001,180,Skin Care,Scrub,
22,535118,H&G535118,Vl Papaya Antitan Face Pck200G,,,"
","
",
22,535119,H&G535119,Vl Peach Massage Cream 200Gm,,,"
","
",
22,535120,H&G535120,Snigdha Skin Whitening Fc/Wash,F0167-001,165,Skin Care,Snighda,
22,535121,H&G535121,Snigdha Skin Whitening Night Cream-50 Gm,F0216-001,275,Skin Care,Snighda,
22,535122,H&G535122,Snigdha Skin Whitening Spot Fading Serum-40 Ml,F0220-001,475,Skin Care,Snighda,
22,535123,H&G535123,Walnut Scrub 80G,F0232-001,180,Skin Care,Scrub,
22,537352,H&G537352,Vl Anti Tan Facial Kit 250G,,,"
","
",
22,537353,H&G537353,Vl Insta Glow Facial Kit 250G,,,"
","
",
22,537354,H&G537354,Vl Insta Glow Safrn&Honey 60G,,,"
","
",
22,537355,H&G537355,Vl Papaya Frut Facial Kit 250G,,,"
","
",
22,538084,H&G538084,Vl Spr Body Glw Spf35 100M,,,Others,Others,
22,538085,H&G538085,Vl Spr Body Glw Spf35 Oil 100M,,,Others,Others,
22,538086,H&G538086,Vl Spr Brg Crt Day Crm 40G,,,Others,Others,
22,538087,H&G538087,Vl Spr Brg Crt Ngt Crm 40G,,,Others,Others,
22,538088,H&G538088,Vl Spr Enbrg Crt Day Crm 40G,,,Others,Others,
22,538089,H&G538089,Vl Spr Enbrg Crt Ngt Crm 40G,,,Others,Others,
22,538090,H&G538090,Vl Spr Exotic Jewel Msk100G,,,Others,Others,
22,538091,H&G538091,Vl Spr Exotic Jewel Scrb100,,,Others,Others,
22,538092,H&G538092,Vl Spr Face Scpt Day Crm 40G,,,Others,Others,
22,538093,H&G538093,Vl Spr Max Moist Day Crm 40G,,,Others,Others,
22,538094,H&G538094,Vl Spr Max Replsh Ngt Crm 40G,,,Others,Others,
22,538095,H&G538095,Vl Spr Moist Lock Fw 100M,,,Others,Others,
22,538096,H&G538096,Vl Spr Papaya Enzy Msk100G,,,Others,Others,
22,538097,H&G538097,Vl Spr Shine Cntrl Clnsr 100M,,,Others,Others,
22,538098,H&G538098,Vl Spr Shine Cntrl Msk 100G,,,Others,Others,
22,538099,H&G538099,Vl Spr Skin Sooth Tonr 100M,,,Others,Others,
22,538100,H&G538100,Vl Spr Whiteng Day Crm 40G,,,Others,Others,
22,538101,H&G538101,Vl Spr Whiteng Face Pck100G,,,Others,Others,
22,538102,H&G538102,Vl Spr Whiteng Fw 100M,,,Others,Others,
22,538103,H&G538103,Vl Spr Whiteng Ngt Crm 40G,,,Others,Others,
22,538104,H&G538104,Vl Spr Whiteng Scrub 100G,,,Others,Others,
22,540224,H&G540224,Shape Up Body Sculpting Cellulite Reduction Oil 100Ml,,,Shape UP,Shape UP,
22,540225,H&G540225,Shape Up Body Sculpting Cellulite Reduction Gel 100Gm,,,Shape UP,Shape UP,
22,540226,H&G540226,Mens Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,540227,H&G540227,Rose Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,540228,H&G540228,Peach Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,540229,H&G540229,Plain Almond Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
22,541385,H&G541385,Enchanting Eye Kajal .3 Gm,,,EyeCare,EyeCare,
22,542293,H&G542293,Shape Up 10 In 1 Oil 60 Ml,,,Shape UP,Shape UP,
22,542294,H&G542294,Mulberry & Rose Facewash 150Ml B1G1-Mt,F0311-003,190,Skin Care,B1G1 FWs,
22,542496,H&G542496,Tulsi Acne Clear Face Wash 150 Ml,F0328-003,235,Skin Care,B1G1 FWs,
22,542903,H&G542903,Neem Facewash 150Ml B1G1-C&C,F0306-004,190,Skin Care,B1G1 FWs,
22,544280,H&G544280,Antitan Body Lotion Spf 25 150Ml B1G1-Mt,F0313-003,295,SunCare,Anti Tan Lotion,
22,545221,H&G545221,Vlcc Platinum Facial Kit,,,Facial Kits,Single Kit,
22,545222,H&G545222,Party Glow Facial Kit 5 Session,F0357-001,600,Facial Kits,Regular kit,
22,545223,H&G545223,Papaya Fruit Facial Kit 5 Session,F0356-001,600,Facial Kits,Regular kit,
22,545224,H&G545224,Anti Tan Facial Kit 5 Session,F0355-001,600,Facial Kits,Regular kit,
22,545225,H&G545225,Skin Brightening Haldi & Chandan Face Wash,F0367-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
22,545226,H&G545226,Double Power Double Neem Skin Purifying Face Wash,F0369-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
22,545227,H&G545227,Deep Pore Cleansing & Brightening Haldi & Tulsi Face Wash,F0365-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
22,545228,H&G545228,Natural Fairness Kesar Chandan Face Wash,F0371-001,99,Ayurveda Face Wash,Ayurveda Face Wash,
22,545615,H&G545615,Natural Fairness Chandan & Kesar Facial Kit,F0386-001,200,Facial Kits,Ayurveda Single Kit,
22,545616,H&G545616,Skin Brightening Haldi & Chandan Facial Kit,F0385-001,200,Facial Kits,Ayurveda Single Kit,
22,545617,H&G545617,Skin Purifying Double Power Double Neem Facial Kit,F0384-001,200,Facial Kits,Ayurveda Single Kit,
22,545618,H&G545618,Deep Pore Cleansing & Brightening Haldi Tulsi Facial Kit,F0383-001,200,Facial Kits,Ayurveda Single Kit,
22,547141,H&G547141,Vlcc Ayurveda Kesh Ayur Shakti Hair Oil 100Ml (+20Ml Free),,,Hair Care,Ayurveda Hair Care,
22,547142,H&G547142,Vlcc Ayurveda White & Bright Glow Gel Crème,F0410-003,79,Ayurveda SkinCare,Ayurveda SkinCare,
22,547143,H&G547143,Vlcc Ayurveda Multani Mitti Face Pack,F0409-001,120,Ayurveda SkinCare,Ayurveda SkinCare,
22,547144,H&G547144,Radiance Pro Spf 30 Sun Screen Gel 100 Gm,F0436-001,375,SunCare,SunCare,
22,547145,H&G547145,Vlcc Ayurveda Anti Ageing Cream,F0424-001,240,Ayurveda SkinCare,Ayurveda SkinCare,
22,547146,H&G547146,Vlcc Ayush Men Scrub 50 Gm,F0405-001,80,Mens Range,Mens Range,
22,547147,H&G547147,Vlcc Ayurveda Depigmentation  Cream,F0425-001,210,Ayurveda SkinCare,Ayurveda SkinCare,
22,547148,H&G547148,Vlcc Ayush Men Moisturiser 100 Gm,F0407-001,275,Mens Range,Mens Range,
22,547149,H&G547149,Vlcc Ayush Men Face Wash 100 Gm,F0404-001,140,Mens Range,Mens Range,
22,550306,H&G550306,Vlcc Glam & Glo 10 In 1  Skin Perfector (Light To Fair) 30Ml,F0568-001,150,Skin Care,Glam Glow,
22,550307,H&G550307,Vlcc White & Bright Glow Hand & Body Lotion – 400Ml,,,Skin Care,Lotion,
22,550308,H&G550308,Youth Boost Body Lotion (B1G1) 400Ml,F0547-002,399,Skin Care,Lotion,
22,550309,H&G550309,Active Fruits Body Lotion (B1G1) 400Ml,F0550-002,399,Skin Care,Lotion,
22,550310,H&G550310,Detan Glow Body Lotion (B1G1) 400Ml,F0553-002,399,Skin Care,Lotion,
22,550311,H&G550311,Vlcc Ultimo Blends Whitening & Detixifying Face Pack,F0465-001,350,Skin Care,Charcoal,
22,550312,H&G550312,Vlcc 7X Ultra Whitening & Brightening Charcoal Peel Off Mask,F0525-001,348,Skin Care,Charcoal,
22,550313,H&G550313,Vlcc Ayurveda Hair Nourishment Shampoo 350Ml,T0311-002,220,Hair Care,Ayurveda Hair Care,
22,550314,H&G550314,Vlcc Ayurveda Hair Fall Control Shampoo 350Ml,T0309-002,220,Hair Care,Ayurveda Hair Care,
22,550315,H&G550315,Vlcc Glam & Glo 10 In 1  Skin Perfector (Medium Skin Tone) 3,F0569-001,150,Skin Care,Glam Glow,
22,552219,H&G552219,Activated Bamboo Charcoal Facial Kit,F0609-001,300,Facial Kits,Charcoal Kit,
22,552220,H&G552220,Vlcc Ultimo Blends Charcl Face Wash 100Gm,F0607-001,225,Skin Care,Charcoal FW,
22,550900,H&G550900,Vlcc Specifix Brightening Face Wash 100G,P0121-001,250,Skin Care,Specifix,
22,550901,H&G550901,Vlcc Specifix Age Defying Face Wash 100G,P0127-001,250,Skin Care,Specifix,
22,550904,H&G550904,Vlcc Specifix Brightening Face Scrub 80G,P0122-001,325,Skin Care,Specifix,
22,550905,H&G550905,Vlcc Specifix Age Defying Face Scrub 80G,P0128-001,325,Skin Care,Specifix,
22,550906,H&G550906,Vlcc Specifix Brightening Day Cream 50G,P0123-001,400,Skin Care,Specifix,
22,550907,H&G550907,Vlcc Specifix Brightening Night Crem 50G,P0124-001,400,Skin Care,Specifix,
22,550908,H&G550908,Vlcc Specifix Age Defying  Day Crem 50G,P0129-001,400,Skin Care,Specifix,
22,550909,H&G550909,Vlcc Specifix Age Defying  Nigt Crem 50G,P0130-001,400,Skin Care,Specifix,
22,550910,H&G550910,Vlcc Specifix  Brightening Face Serm 30G,P0126-001,550,Skin Care,Specifix,
22,550911,H&G550911,Vlcc Specifix Age Defying  Face Serm 30G,P0132-001,550,Skin Care,Specifix,
22,550902,H&G550902,VLCC SPECIFIX BRIGHTENING FACE PACK 80G,P0125-001,300,Skin Care,Specifix,
22,550903,H&G550903,VLCC SPECIFIX AGE DEFYING  FACE PACK 80G,P0131-001,300,Skin Care,Specifix,
22,553864,H&G553864,I Kohl - Blue,T0304-001,199,EyeCare,EyeCare,
22,553865,H&G553865,I Kohl - Green,T0305-001,199,EyeCare,EyeCare,
22,553863,H&G553863,I Kohl - Black,T0303-001,160,EyeCare,EyeCare,
11,100007957,Max Hyper100007957,Hair Fall Repair Oil 100Ml,F0056-001,155,Hair Care,Oil,
11,100007959,Max Hyper100007959,Hair Strengthening Oil 100 Ml,F0055-001,400,Hair Care,Oil,
11,100008839,Max Hyper100008839,Dandruff Care & Control Shampoo 350Ml (B1G1),F0320-002,295,Hair Care,Shampoo,
11,100008917,Max Hyper100008917,Vlcc Henna Set Of 2 – 240G,T0291-001,99,Hair Care,Hair Color,
11,100010045,Max Hyper100010045,Hair Fall Control Shampoo 350Ml (B1G1),F0319-002,295,Hair Care,Shampoo,
11,100010049,Max Hyper100010049,Nourishing & Silky Shine Shampoo 350Ml (B1G1),F0321-002,295,Hair Care,Shampoo,
11,100024623,Max Hyper100024623,Pedi Glow Foot Care Kit,F0048-001,395,Foot Care Kit,Foot Care Kit,
11,100040885,Max Hyper100040885,Papaya Fruit Single Facial Kit,F0096-014,250,Facial Kits,Single Kit,
11,100040891,Max Hyper100040891,Party Glow Single Facial Kit,F0098-014,250,Facial Kits,Single Kit,
11,100041343,Max Hyper100041343,Almond Under Eye Cream,F0169-001,240,Skin Care,Creams,
11,100041349,Max Hyper100041349,Snigdha Skin Whitening Day Crm,F0215-001,275,Skin Care,Snighda,
11,100041351,Max Hyper100041351,Anti Aging Night Cream- 50 Gm,F0218-001,450,Skin Care,Anti Aging,
11,100042303,Max Hyper100042303,Honey Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
11,100042307,Max Hyper100042307,Cherry Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
11,100042503,Max Hyper100042503,Orange Lip Balm 4.5 Gm,,,Lip Care,Lip Care,
11,100042505,Max Hyper100042505,Strawberry Lip Balm 4.5 Gm,T0036-005,125,Lip Care,Lip Care,
11,100042999,Max Hyper100042999,Honey Moisturiser  100Ml,F0193-005,260,Skin Care,Moisturiser,
11,100043227,Max Hyper100043227,Lavang Moisturiser 100Ml,F0196-001,170,Skin Care,Moisturiser,
11,100043229,Max Hyper100043229,Matte Look Spf 30 Sun Screen Gel Crème (Tinted) 50 Gm,F0432-001,210,SunCare,SunCare,
11,100043257,Max Hyper100043257,Vlcc Cocoa Butter Body Lotion 350 Ml,,,Skin Care,Lotion,
11,100043259,Max Hyper100043259,Almond Nourishing Body Lotion 350 Ml,F0162-005,275,Skin Care,Almond Lotion,
11,100043427,Max Hyper100043427,Wild Turmeric Face Wash 80Ml,F0233-001,148,Skin Care,Face Wash,
11,100043655,Max Hyper100043655,Anti Tan Skin Lightening Facewash New,,,SunCare,SunCare,
11,100043963,Max Hyper100043963,De Tan Spf 50 Sunscreen Gel Crème,F0440-001,415,SunCare,SunCare,
11,100043965,Max Hyper100043965,Moisturising Sun Block Cream Spf 25,,,SunCare,SunCare,
11,100043991,Max Hyper100043991,3D Youth Boost Spf40 Sunscreen Gel Crème 100 Gm,F0438-001,395,SunCare,SunCare,
11,100043995,Max Hyper100043995,Enbrighten Tinted Sunscreensoufflθ Spf 25,,,SunCare,SunCare,
11,100044117,Max Hyper100044117,Alpine Mint & Tea Tree Gentle Refreshing Face Wash,F0185-001,250,Skin Care,Face Wash,
11,100044123,Max Hyper100044123,Mandarin & Tomato Fairness Face Wash,F0187-001,250,Skin Care,Face Wash,
11,100044173,Max Hyper100044173,Water Resistant Spf60 Sunscreen Gel Crème,F0441-001,525,SunCare,SunCare,
