FG code,Article Des,EAN Code,Size,Final MRP,Category
T0003-002,VLCC Enchanting Kajal,8907122000180,0.3GM,199,EyeCare
F0328-002,VLCC Tulsi Face Wash,8907122003761,150 ml,225,FWs
F0164-001,VLCC De-pigmentation Day Cream 50gm,8907122000128,50GM,450,De-Pigmentation
F0165-001,VLCC De-pigmentation Night Cream 50gm,8907122000135,50GM,450,De-Pigmentation
F0166-001,VLCC De-pigmentation Face Mask 80 gm,8907122000111,80GM,180,De-Pigmentation
F0163-001,VLCC De - pigmentation Serum 40ML,8907122000142,40ML,450,De-Pigmentation
F0145-001,Shape Up Slimming Oil100 ml,8906008458572,100ML,255,Shape UP
F0147-001,Shape Up Slimming Oil200 ml,8907122001798,200ML,500,Shape UP
F0140-001,Shape Up Waist & Tummy Trim Gel200 gm,8906008451863,200GM,605,Shape UP
F0137-001,Shape Up Waist & Tummy Trim Gel100 gm,8906008453393,100GM,355,Shape UP
F0350-001,Shape UP B line Cream 100ml,8907122005444,100ML,495,Shape UP
F0324-001,Shape Up Anti-Cellulite Oil100 ml,8907122002931,100ML,900,Shape UP
F0325-001,Shape Up Anti-Cellulite Gel100 gm,8907122002948,100GM,1100,Shape UP
F0326-001,Shape Up 10 in 1 Oil60 ml,8907122003693,60ML,425,Shape UP
F0146-001,Shape Up 10 in 1 Oil100 ml,8907122003686,100ML,700,Shape UP
F0161-001,VLCC Coco Butter Body Lotion 350ml,8906008458794,350ml,299,Skin Care
F0415-001,VLCC Ayurveda Dandruff Control Shampoo,8907122008049,100ML,70,Hair Care
F0417-001,VLCC Ayurveda Anti Hair Fall Shampoo,8907122008063,100ML,70,Hair Care
F0421-001,VLCC Ayurveda Intense Nourishing Shampoo,8907122008100,100ML,70,Hair Care
F0419-001,VLCC Ayurveda Smooth and Shine Shampoo,8907122008087,100ML,70,Hair Care
F0403-001,VLCC AyushMEN Face Wash 50gm,8907122007547,50g,75,Mens Range
F0404-001,VLCC AyushMEN Face Wash 100gm,8907122007554,100m,140,Mens Range
F0405-001,VLCC AyushMEN Scrub 50gm,8907122007561,50g,80,Mens Range
F0406-001,VLCC AyushMEN Moisturiser 50gm,8907122007578,50g,150,Mens Range
F0407-001,VLCC AyushMEN Moisturiser 100gm,8907122007585,100gm,275,Mens Range
F0408-001,VLCC AyushMEN Shaving Gel 50gm,8907122007592,50gm,65,Mens Range
T0285-001,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,8907122008124,100ml,130,Hair Care
F0425-001,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,8907122008308,50gm,195,Ayurveda Skincare
F0409-001,VLCC Ayurveda Multani Mitti Face Pack,8907122008438,100gm,120,Ayurveda Skincare
F0424-001,VLCC Ayurveda Youth Miracle Anti Ageing Cream,8907122008292,50gm,225,Ayurveda Skincare
F0410-001,VLCC Ayurveda White & Bright Glow Gel Cream,8907122008445,20gm,79,Ayurveda Skincare
F0160-001,VLCC Aloe Vera Body Lotion 350ml,8906008458848,,299,Skin Care
F0159-001,VLCC Mulberry Body Lotion 350ml,8906008458831,,299,Skin Care
