itemcode,
14113,F0097-018
14113,F0097-018
14887,F0095-020
22229,F0309-001
300710658,F0440-001
300710677,F0438-001
1000845125,F0365-001
1000845176,F0371-001
1000845340,F0367-001
1001638567,F0424-001
1001638568,F0425-001
1001638569,F0409-001
1001638572,T0325-001
1001638573,T0326-001
1001638574,T0327-001
1001638575,T0328-001
1001638576,F0627-001
1001638579,F0541-001
1001638580,F0542-001
1001638581,F0465-001
1001638582,F0605-001
1001638584,F0551-002
1001638585,F0553-002
