FG code,Article Des,EAN Code,Size,Final MRP,Category
T0333-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,8907122011483,400ML,345,Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0550-002,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30|PA+++ 400ML,8907122011544,400ML,399,Skin Care
T0334-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 100ml,8907122011490,100ML,99,Skin Care
F0548-002,Youth Boost Body Lotion (B1G1) 100ML,8907122011520,100ML,135,Skin Care
F0551-002,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30|PA+++ 100ML,8907122011551,100ML,135,Skin Care
F0553-002,VLCC COCOA BUTTER DETAN GLOW SPF 30|PA+++ 400ML,8907122011575,400ML,399,Skin Care
F0554-002,VLCC COCOA BUTTER DETAN GLOW SPF 30|PA+++ 100ML,8907122011582,100ML,135,Skin Care
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Care
F0540-001,Cocoa Butter Lip Balm Strip of 6,8907122011391,10GM*6,150,Lip Care
F0541-001,Strawberry Lip Balm Strip of 6,8907122011407,10GM*6,150,Lip Care
F0542-001,Hydrating Lip Balm Strip of 6,8907122011414,10GM*6,150,Lip Care
F0556-002,VLCC 3 in 1 Intensive Care Cold Cream Pet Jar 24NO,8907122011841,10GM*24,240,Skin Care
T0329-001,Vaso Plus Petroleum Jelly Pet Jar 48No,8907122011674,7GM*5,240,Skin Care
T0330-001,Vaso Plus Petroleum Jelly 42,8907122011681,42GM,50,Skin Care
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Skin Care
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel 100GM,8907122009268,100GM,85,Skin Care
