EAN,Item Description,Guardian
8906008452822,VLCC Skin Tightning Facial Kit ,79878
8906008455069,VLCC Pedi Glow Foot Care Kit,
8907122002191,VLCC pedicure & Manicure kit,79879
8907122005659,Papaya Fruit Facial Kit 5 Session,
8907122005666,Party Glow Facial Kit 5 Session,79877
8907122005642,Anti Tan Facial Kit 5 Session,79876
8906008458350,VLCC Gold Facial Kit-6,
8907122006076,Skin Brightening Haldi & Chandan Face wash,
8907122006113,Natural Fairness Double Action Chandan & Kesar,
8907122006052,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,
8907122006090,Skin Purifying Double Power Double Neem FACEWASH,
8907122006137,VLCC Platinum Facial Kit 60gm,
8907122006557,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,
8907122006564,Skin Purifying Double Power Double Neem Facial Kit,
8907122006571,Skin Brightening Haldi & Chandan Facial Kit ,
8907122006588,Natural Fairness Chandan & Kesar Facial Kit,
8907122006144,Total Nourishment Fruit Cream,
8907122006632,Insta Fair & Glow Cold Cream,
8907122002993,VLCC Skin Glow Mini Facial kit,
8907122002986,VLCC Skin Whitening Mini Facial Kit ,
8907122006373,VLCC Neem FACE WASH Sachet (Pack of 24@ Rs.5 per sachet) ,
8906008453058,VLCC Diamond Kit,
8906008454246,VLCC Pearl Facial Kit,
8907122001835,VLCC Daily protect Lip balm Strawberry 4.5GM,79674
8907122004065,VLCC Rose Lip Balm 4.5 gm,89758
8907122004072,VLCC Peach Lip Balm 4.5 gm,89759
8907122001842,VLCC Daily protect Lip balm Cherry 4.5GM,79673
8906008460438,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,79677
8906008460469,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,79680
8906008459579,VLCC Hair Fall Repair Oil 100ML,79863
8906008459517,VLCC Protein Conditioning Shampoo-350ml,89755
8906008459487,VLCC Hair Fall Repair Shampoo-350ml,89756
8906008459456,VLCC Dandruff Control Shampoo-350ml,89757
8906008459562,VLCC Hair Strengthening Oil 100ml,79864
8906008460476,VLCC Henna 2*100gm,62066
8906008451665,VLCC Henna 100gm,
8906008451009,VLCC KAJAL 2.5GR ,62071
8906008458428,VLCC Herbal Bleach Retail 27 gm,79630
8906008456554,VLCC Gold Bleach Retail 30G,79629
8906008453331,VLCC Insta Glow Bleach -21 gm,62100
8907122001439,VLCC Diamond Bleach 30gm,79865
8907122000050,VLCC Insta Glow Gold Bleach - 60 gm,79670
8907122000043,VLCC Insta Glow Herbal Bleach - 54 gm,79880
8907122000029,VLCC Insta Glow Qxygen Bleach - 51.4 gm,79881
8907122000036,VLCC Insta Glow Diamond Bleach - 60 gm,79675
8907122002641,Neem Facewash 150ml ,82186
8907122002658,Mulberry & Rose Facewash 150ml ,82185
8907122002665,Turmeric & Berberris Facewash 150ml ,82187
8907122000180,VLCC Enchanting Kajal,89753
8907122003761,VLCC Tulsi Face Wash,89754
8907122000128,VLCC De-pigmentation Day Cream 50gm,79854
8907122000135,VLCC De-pigmentation Night Cream 50gm,79855
8907122000111,VLCC De-pigmentation Face Mask 80 gm,79853
8907122000142,VLCC De - pigmentation Serum 40ML,79856
8906008458572,Shape Up Slimming Oil100 ml,62082
8907122001798,Shape Up Slimming Oil200 ml,41880
8906008451863,Shape Up Waist & Tummy Trim Gel200 gm,68208
8906008453393,Shape Up Waist & Tummy Trim Gel100 gm,62103
8907122005444,Shape UP B line Cream 100ml,89767
8907122002931,Shape Up Anti-Cellulite Oil100 ml,89764
8907122002948,Shape Up Anti-Cellulite Gel100 gm,89765
8907122003693,Shape Up 10 in 1 Oil60 ml,89766
8907122003686,Shape Up 10 in 1 Oil100 ml,
8906008458794,VLCC Coco Butter Body Lotion 350ml,
8907122008049,VLCC Ayurveda Dandruff Control Shampoo,
8907122008063,VLCC Ayurveda Anti Hair Fall Shampoo,
8907122008100,VLCC Ayurveda Intense Nourishing Shampoo,
8907122008087,VLCC Ayurveda Smooth and Shine Shampoo,
8907122007547,VLCC AyushMEN Face Wash 50gm,
8907122007554,VLCC AyushMEN Face Wash 100gm,
8907122007561,VLCC AyushMEN Scrub 50gm,
8907122007578,VLCC AyushMEN Moisturiser 50gm,
8907122007585,VLCC AyushMEN Moisturiser 100gm,
8907122007592,VLCC AyushMEN Shaving Gel 50gm,
8907122008124,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,
8907122008308,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,
8907122008438,VLCC Ayurveda Multani Mitti Face Pack,
8907122008292,VLCC Ayurveda Youth Miracle Anti Ageing Cream,
8907122008445,VLCC Ayurveda White & Bright Glow Gel Cream,
8906008458848,VLCC Aloe Vera Body Lotion 350ml,
8906008458831,VLCC Mulberry Body Lotion 350ml,
