FG code,Article Des,EAN Code,Size,Final MRP,Category
T0309-002,VLCC Ayurveda Hair Fall Control Shampoo 350ml +100ml Conditioner Free,,402.5ml,220,Hair Care
F0220-001,Snigdha Skin Whitening Spot Fading Serum-50 ml,8907122003372,50ml,450,Skin Care
F0218-001,Anti Aging Night Cream- 50 gm,8907122000098,50gm,450,Skin Care
F0319-002,Hair Fall Control Shampoo 350ml (B1G1),8906008459487,350ml,295,Hair Care
F0246-001,Enbrighten Tinted SunscreenSoufflΘ SPF 25,,0,0,Sun Care
T0146-001,GlamorWave Cream Renewal 35 ml,,35ML,2200,Skin Care
F0034-001,Insta Glow Gold Bleach,8906008456554,30gm,60,Bleach
F0307-003,Turmeric & Berberries Face Wash + Anti Tan Skin Lightening Face Wash ,8907122002665,150ml,170,Skin Care
F0097-019,Gold Single Facial Kit  + White & Bright Glow Worth Rs.79 FREE,8906008458022,1KIT,250,Single Facial kit
F0089-001,Instaglow Facial Kit,8906008452785,Kit,400,Regular Facial Kit
F0311-002,Mulberry & Rose Facewash 150ml B1G1-MT,8907122002658,150ml,170,Skin Care
F0099-017,Pearl Single Facial Kit  + White & Bright Glow Worth Rs.79 FREE,8906008458015,1KIT,250,Single Facial kit
F0306-003,Neem Face Wash + Anti Tan Skin Lightening Face Wash,8907122002641,150ml,170,Skin Care
F0321-002,Nourishing & Silky Shine Shampoo 350ML (B1G1),8906008459517,350ml,295,Hair Care
F0319-002,Hair Fall Control Shampoo 350ml (B1G1),8906008459487,350ml,295,Hair Care
F0095-021,DIAMOND FACIAL KIT 6 steps Tube WG 20g,8906008458039,1KIT,350,Single Facial kit
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Mass Range
F0559-001,VLCC OIL INFUSED TOTAL NOURISHMENT FRUIT CREAM 200GM,8907122011636,200GM,140,Mass Range
T0330-001,Vaso Plus Petroleum Jelly ,8907122011681,42GM,50,Skin Care
