5,EI08,2000002219
5,S433,1000015213
5,S235,2000004105
5,R413,2000002584
5,S041 ,2000003387
5,VT05,2000004505
56,1036,100451
56,1032,1000022701
56,1033,1000019699
14,10,1000002728
14,11,2000005387
14,12,1000005052
14,15,1000010449
14,16,1000018223
14,17,1000013279
14,18,2000005708
14,19,2000005388
14,20,1000007995
14,23,1000011748
14,24,1000013860
14,25,1000019683
14,26,2000005387
14,27,2000005389
14,28,2000000175
14,29,2000000073
14,30,1000022873
14,32,1000022467
14,43,1000013153
14,45,1000012648
14,46,1000012306
14,47,2000005752
14,48,2000005751
14,52,1000018552
14,53,1000020413
14,54,2000002043
14,60,1000007942
