EAN,Item Description,Big Bazaar
8907122000067,VLCC Anti Aging Face Wash 100 ml,
8907122000104,VLCC Anti Aging Vitalift serum- 40 ml,1000061217
8906008450897,VLCC Snighda Skin Whitening Day Cream Spf25 50gm,109001465
8907122003105,VLCC Snighda Skin Whitening Face Wash 100ml,1000061204
8907122003365,VLCC Snighda Skin Whitening Night Cream 50Gm,1000061205
8907122003372,VLCC Snighda Skin Whitening Serum 40ml,1000061206
8906008458022,VLCC Gold Facial Kit-Single,300693708
8906008458015,VLCC Pearl Fairness Facial Kit-Single 90G,300452928
8906008458589,VLCC PARTY GLOW FACIAL KIT 90G,300793678
8906008458374,VLCC ANTI TAN SINGLE FACIAL KIT,300737897
8906008458466,VLCC Fruit Facial Kit-Single 100G,300775202
8906008458039,VLCC Diamond Facial Kit-Single,300696628
8906008459715,VLCC Silver Facial Kit ,1000001644
8906008452907,VLCC Fruit Kit,300603130
8906008452785,VLCC Insta Glow Facial Kit ,300310618
8906008452761,VLCC Detan Facial Kit,300337354
8906008452822,VLCC Skin Tightning Facial Kit ,300310617
8906008455069,VLCC Pedi Glow Foot Care Kit,300482735
8907122002191,VLCC pedicure & Manicure kit,1000038699
8907122005659,Papaya Fruit Facial Kit 5 Session,1000099225
8907122005666,Party Glow Facial Kit 5 Session,1000099243
8907122005642,Anti Tan Facial Kit 5 Session,1000099195
8906008458350,VLCC Gold Facial Kit-6,300482736
8907122006076,Skin Brightening Haldi & Chandan Face wash,1000845340
8907122006113,Natural Fairness Double Action Chandan & Kesar,1000845176
8907122006052,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,1000845125
8907122006090,Skin Purifying Double Power Double Neem FACEWASH,1000845139
8907122006137,VLCC Platinum Facial Kit 60gm,1000857903
8907122006557,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,1000857868
8907122006564,Skin Purifying Double Power Double Neem Facial Kit,1000857885
8907122006571,Skin Brightening Haldi & Chandan Facial Kit ,1000857886
8907122006588,Natural Fairness Chandan & Kesar Facial Kit,1000857867
8907122006144,Total Nourishment Fruit Cream,
8907122006632,Insta Fair & Glow Cold Cream,
8907122002993,VLCC Skin Glow Mini Facial kit,
8907122002986,VLCC Skin Whitening Mini Facial Kit ,
8907122006373,VLCC Neem FACE WASH Sachet (Pack of 24@ Rs.5 per sachet) ,
8906008453058,VLCC Diamond Kit,1000001711
8906008454246,VLCC Pearl Facial Kit,1000001683
8907122001835,VLCC Daily protect Lip balm Strawberry 4.5GM,300959989
8907122004065,VLCC Rose Lip Balm 4.5 gm,1000487918
8907122004072,VLCC Peach Lip Balm 4.5 gm,1000487919
8907122001842,VLCC Daily protect Lip balm Cherry 4.5GM,300903641
8906008460438,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,300959811
8906008460469,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,300959794
8906008459579,VLCC Hair Fall Repair Oil 100ML,300164781
8906008459517,VLCC Protein Conditioning Shampoo-350ml,108017342
8906008459487,VLCC Hair Fall Repair Shampoo-350ml,300589240
8906008459456,VLCC Dandruff Control Shampoo-350ml,300589237
8906008459562,VLCC Hair Strengthening Oil 100ml,109001518
8906008460476,VLCC Henna 2*100gm,300846392
8906008451665,VLCC Henna 100gm,
8906008451009,VLCC KAJAL 2.5GR ,300466041
8906008458428,VLCC Herbal Bleach Retail 27 gm,300775198
8906008456554,VLCC Gold Bleach Retail 30G,300775197
8906008453331,VLCC Insta Glow Bleach -21 gm,300651163
8907122001439,VLCC Diamond Bleach 30gm,1000097196
8907122000050,VLCC Insta Glow Gold Bleach - 60 gm,1000098113
8907122000043,VLCC Insta Glow Herbal Bleach - 54 gm,1000098051
8907122000029,VLCC Insta Glow Qxygen Bleach - 51.4 gm,1000098036
8907122000036,VLCC Insta Glow Diamond Bleach - 60 gm,1000098045
8907122002641,Neem Facewash 150ml ,1000260622
8907122002658,Mulberry & Rose Facewash 150ml ,1000209063
8907122002665,Turmeric & Berberris Facewash 150ml ,1000469216
8907122000180,VLCC Enchanting Kajal,
8907122003761,VLCC Tulsi Face Wash,1000599673
8907122000128,VLCC De-pigmentation Day Cream 50gm,1000061219
8907122000135,VLCC De-pigmentation Night Cream 50gm,1000061220
8907122000111,VLCC De-pigmentation Face Mask 80 gm,1000061218
8907122000142,VLCC De - pigmentation Serum 40ML,
8906008458572,Shape Up Slimming Oil100 ml,300793646
