itemcode,fgcode,chain_id,chain name
30040574,T0037-006,24,H & B Stores Limited
30040577,T0036-005,24,H & B Stores Limited
30040583,F0096-014,24,H & B Stores Limited
30040584,F0098-014,24,H & B Stores Limited
30040586,F0094-016,24,H & B Stores Limited
30040590,F0196-001,24,H & B Stores Limited
30040592,F0185-001,24,H & B Stores Limited
30040595,F0187-001,24,H & B Stores Limited
30040600,F0438-001,24,H & B Stores Limited
30040602,F0441-001,24,H & B Stores Limited
30040606,F0432-001,24,H & B Stores Limited
30043424,F0167-001,24,H & B Stores Limited
30043425,F0216-001,24,H & B Stores Limited
30043426,F0220-001,24,H & B Stores Limited
30043431,F0217-001,24,H & B Stores Limited
30043432,F0206-001,24,H & B Stores Limited
30043433,F0168-001,24,H & B Stores Limited
30043434,F0218-001,24,H & B Stores Limited
30043438,F0038-001,24,H & B Stores Limited
30043439,F0036-001,24,H & B Stores Limited
30043440,F0035-001,24,H & B Stores Limited
30043441,F0037-001,24,H & B Stores Limited
30046832,F0162-005,24,H & B Stores Limited
30047108,F0202-001,24,H & B Stores Limited
30047109,F0232-001,24,H & B Stores Limited
30047110,F0049-002,24,H & B Stores Limited
30054928,F0313-003,24,H & B Stores Limited
30054929,F0311-003,24,H & B Stores Limited
30057902,F0306-004,24,H & B Stores Limited
30057903,F0307-004,24,H & B Stores Limited
30057904,F0328-003,24,H & B Stores Limited
30059072,F0356-001,24,H & B Stores Limited
30059073,F0355-001,24,H & B Stores Limited
30059074,F0357-001,24,H & B Stores Limited
30059872,F0367-001,24,H & B Stores Limited
30059874,F0367-001,24,H & B Stores Limited
30059876,F0369-001,24,H & B Stores Limited
30059878,F0371-001,24,H & B Stores Limited
30060151,F0385-001,24,H & B Stores Limited
30060152,F0384-001,24,H & B Stores Limited
30060153,F0385-001,24,H & B Stores Limited
30060154,F0386-001,24,H & B Stores Limited
30062682,F0428-001,24,H & B Stores Limited
30062683,F0431-001,24,H & B Stores Limited
30062684,F0436-001,24,H & B Stores Limited
30062685,F0438-001,24,H & B Stores Limited
30062686,F0440-001,24,H & B Stores Limited
30062687,F0441-001,24,H & B Stores Limited
30067010,F0424-001,24,H & B Stores Limited
30067011,F0425-001,24,H & B Stores Limited
30067012,F0409-001,24,H & B Stores Limited
30067013,F0410-003,24,H & B Stores Limited
30067014,F0627-001,24,H & B Stores Limited
30067015,F0525-001,24,H & B Stores Limited
30067016,F0465-001,24,H & B Stores Limited
30067019,F0547-003,24,H & B Stores Limited
30067021,F0550-003,24,H & B Stores Limited
30067023,F0553-003,24,H & B Stores Limited
30067025,F0557-001,24,H & B Stores Limited
30067026,F0559-001,24,H & B Stores Limited
30067027,F0568-001,24,H & B Stores Limited
30067028,F0569-001,24,H & B Stores Limited
30070085,T0303-001,24,H & B Stores Limited
30070086,T0304-001,24,H & B Stores Limited
30070087,T0305-001,24,H & B Stores Limited
30070088,F0609-001,24,H & B Stores Limited
503959,F0048-001,22,HEALTH & GLOW
503961,F0321-002,22,HEALTH & GLOW
503981,F0438-001,22,HEALTH & GLOW
503988,F0244-006,22,HEALTH & GLOW
503997,T0291-001,22,HEALTH & GLOW
503999,F0194-001,22,HEALTH & GLOW
504001,F0196-001,22,HEALTH & GLOW
504010,F0193-005,22,HEALTH & GLOW
504012,F0199-001,22,HEALTH & GLOW
504016,F0201-001,22,HEALTH & GLOW
504018,F0201-001,22,HEALTH & GLOW
504022,F0168-001,22,HEALTH & GLOW
504023,F0049-002,22,HEALTH & GLOW
504031,F0204-001,22,HEALTH & GLOW
504035,F0207-001,22,HEALTH & GLOW
504040,F0088-004,22,HEALTH & GLOW
504050,F0214-001,22,HEALTH & GLOW
504064,F0215-001,22,HEALTH & GLOW
504067,F0428-001,22,HEALTH & GLOW
504068,F0431-001,22,HEALTH & GLOW
504073,F0218-001,22,HEALTH & GLOW
