EAN,Item Description,H&G
8907122001842,VLCC Daily protect Lip balm Cherry 4.5GM,530139
8906008460438,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,532258
8906008460469,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,532263
8906008459579,VLCC Hair Fall Repair Oil 100ML,510487
8906008459517,VLCC Protein Conditioning Shampoo-350ml,503961
8906008459487,VLCC Hair Fall Repair Shampoo-350ml,524679
8906008459456,VLCC Dandruff Control Shampoo-350ml,524676
8906008459562,VLCC Hair Strengthening Oil 100ml,510488
8906008460476,VLCC Henna 2*100gm,503997
8906008451665,VLCC Henna 100gm,
8906008451009,VLCC KAJAL 2.5GR ,513987
8906008458428,VLCC Herbal Bleach Retail 27 gm,528840
8906008456554,VLCC Gold Bleach Retail 30G,528839
8906008453331,VLCC Insta Glow Bleach -21 gm,526346
8907122001439,VLCC Diamond Bleach 30gm,
8907122000050,VLCC Insta Glow Gold Bleach - 60 gm,535113
8907122000043,VLCC Insta Glow Herbal Bleach - 54 gm,535114
8907122000029,VLCC Insta Glow Qxygen Bleach - 51.4 gm,535115
8907122000036,VLCC Insta Glow Diamond Bleach - 60 gm,535112
8907122002641,Neem Facewash 150ml ,542903
8907122002658,Mulberry & Rose Facewash 150ml ,542294
8907122002665,Turmeric & Berberris Facewash 150ml ,
8907122000180,VLCC Enchanting Kajal,541385
8907122003761,VLCC Tulsi Face Wash,542496
8907122000128,VLCC De-pigmentation Day Cream 50gm,535103
8907122000135,VLCC De-pigmentation Night Cream 50gm,535105
8907122000111,VLCC De-pigmentation Face Mask 80 gm,535104
8907122000142,VLCC De - pigmentation Serum 40ML,535106
8906008458572,Shape Up Slimming Oil100 ml,529256
8907122001798,Shape Up Slimming Oil200 ml,518594
8906008451863,Shape Up Waist & Tummy Trim Gel200 gm,522782
8906008453393,Shape Up Waist & Tummy Trim Gel100 gm,526485
8907122005444,Shape UP B line Cream 100ml,
8907122002931,Shape Up Anti-Cellulite Oil100 ml,540224
8907122002948,Shape Up Anti-Cellulite Gel100 gm,540225
8907122003693,Shape Up 10Â inÂ 1Â Oil60 ml,542293
8907122003686,Shape Up 10Â inÂ 1Â Oil100 ml,
8906008458794,VLCC Coco Butter Body Lotion â 350ml,530130
8906008458848,VLCC Aloe Vera Body Lotion â 350ml,530133
8906008458831,VLCC Mulberry Body Lotion â 350ml,530132
8907122006076,Skin Brightening Haldi & Chandan Face wash,545225
8907122006113,Natural Fairness Double Action Chandan & Kesar,545228
8907122006052,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,545227
8907122006090,Skin Purifying Double Power Double Neem FACEWASH,545226
8907122006137,VLCC Platinum Facial Kit 60gm,545221
8907122006557,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,545618
8907122006564,Skin Purifying Double Power Double Neem Facial Kit,545617
8907122006571,Skin Brightening Haldi & Chandan Facial Kit ,545616
8907122006588,Natural Fairness Chandan & Kesar Facial Kit,545615
8907122008049,VLCC Ayurveda Dandruff Control Shampoo,
8907122008063,VLCC Ayurveda Anti Hair Fall Shampoo,
8907122008100,VLCC Ayurveda Intense Nourishing Shampoo,
8907122008087,VLCC Ayurveda Smooth and Shine Shampoo,
8907122008124,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,547141
8907122007547,VLCC AyushMEN Face Wash 50gm,
8907122007554,VLCC AyushMEN Face Wash 100gm,547149
8907122007561,VLCC AyushMEN Scrub 50gm,547146
