EAN,Item Description,Spencer
8906008458039,VLCC Diamond Facial Kit-Single,1231206
8906008459715,VLCC Silver Facial Kit ,
8906008452907,VLCC Fruit Kit,1075027
8906008452785,VLCC Insta Glow Facial Kit ,1135135
8906008452761,VLCC Detan Facial Kit,
8906008452822,VLCC Skin Tightning Facial Kit ,1075025
8906008455069,VLCC Pedi Glow Foot Care Kit,1072034
8907122002191,VLCC pedicure & Manicure kit,1186206
8907122005659,Papaya Fruit Facial Kit 5 Session,1080621
8907122005666,Party Glow Facial Kit 5 Session,1075024
8907122005642,Anti Tan Facial Kit 5 Session,1288297
8906008458350,VLCC Gold Facial Kit-6,1288293
8907122006144,Total Nourishment Fruit Cream,
8907122006632,Insta Fair & Glow Cold Cream,
8907122002993,VLCC Skin Glow Mini Facial kit,
8907122002986,VLCC Skin Whitening Mini Facial Kit ,
8907122006373,VLCC Neem FACE WASH Sachet (Pack of 24@ Rs.5 per sachet) ,
8906008453058,VLCC Diamond Kit,1231190
8906008454246,VLCC Pearl Facial Kit,1288292
8907122001835,VLCC Daily protect Lip balm Strawberry 4.5GM,1258349
8907122004065,VLCC Rose Lip Balm 4.5 gm,1305261
8907122004072,VLCC Peach Lip Balm 4.5 gm,1305262
8907122001842,VLCC Daily protect Lip balm Cherry 4.5GM,1251719
8906008460438,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,1258354
8906008460469,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,1258347
8906008459579,VLCC Hair Fall Repair Oil 100ML,1072029
8906008459517,VLCC Protein Conditioning Shampoo-350ml,1072035
8906008459487,VLCC Hair Fall Repair Shampoo-350ml,1231199
8906008459456,VLCC Dandruff Control Shampoo-350ml,1155110
8906008459562,VLCC Hair Strengthening Oil 100ml,1028407
8906008460476,VLCC Henna 2*100gm,1028406
8906008451665,VLCC Henna 100gm,
8906008451009,VLCC KAJAL 2.5GR ,1072030
8906008458428,VLCC Herbal Bleach Retail 27 gm,1246664
8906008456554,VLCC Gold Bleach Retail 30G,1246658
8906008453331,VLCC Insta Glow Bleach -21 gm,1231187
8907122001439,VLCC Diamond Bleach 30gm,
8907122000050,VLCC Insta Glow Gold Bleach - 60 gm,1289534
8907122000043,VLCC Insta Glow Herbal Bleach - 54 gm,1289535
8907122000029,VLCC Insta Glow Qxygen Bleach - 51.4 gm,1289536
8907122000036,VLCC Insta Glow Diamond Bleach - 60 gm,1289532
8907122002641,Neem Facewash 150ml ,1288566
8907122002658,Mulberry & Rose Facewash 150ml ,1305263
8907122002665,Turmeric & Berberris Facewash 150ml ,1288567
8907122000180,VLCC Enchanting Kajal,1295352
8907122003761,VLCC Tulsi Face Wash,1305264
8907122000128,VLCC De-pigmentation Day Cream 50gm,1275897
8907122000135,VLCC De-pigmentation Night Cream 50gm,1275898
8907122000111,VLCC De-pigmentation Face Mask 80 gm,1275896
8907122000142,VLCC De - pigmentation Serum 40ML,1275899
8906008458572,Shape Up Slimming Oil100 ml,
8907122001798,Shape Up Slimming Oil200 ml,1028391
8906008451863,Shape Up Waist & Tummy Trim Gel200 gm,1207190
8906008453393,Shape Up Waist & Tummy Trim Gel100 gm,
8907122005444,Shape UP B line Cream 100ml,
8907122002931,Shape Up Anti-Cellulite Oil100 ml,1295353
8907122002948,Shape Up Anti-Cellulite Gel100 gm,1295354
8907122003693,Shape Up 10 in 1 Oil60 ml,1305260
8907122003686,Shape Up 10 in 1 Oil100 ml,
8906008458794,VLCC Coco Butter Body Lotion – 350ml,1246667
8906008458848,VLCC Aloe Vera Body Lotion – 350ml,1246659
8906008458831,VLCC Mulberry Body Lotion – 350ml,1246671
8907122006076,Skin Brightening Haldi & Chandan Face wash,1028378
8907122006113,Natural Fairness Double Action Chandan & Kesar,1075026
8907122006052,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,1239617
8907122006090,Skin Purifying Double Power Double Neem FACEWASH,1251717
8907122006137,VLCC Platinum Facial Kit 60gm,1251718
8907122006557,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,1258346
8907122006564,Skin Purifying Double Power Double Neem Facial Kit,1288294
8907122006571,Skin Brightening Haldi & Chandan Facial Kit ,1288295
8907122006588,Natural Fairness Chandan & Kesar Facial Kit,1288296
8907122008049,VLCC Ayurveda Dandruff Control Shampoo,
8907122008063,VLCC Ayurveda Anti Hair Fall Shampoo,
8907122008100,VLCC Ayurveda Intense Nourishing Shampoo,
8907122008087,VLCC Ayurveda Smooth and Shine Shampoo,
8907122008124,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,
8907122007547,VLCC AyushMEN Face Wash 50gm,
8907122007554,VLCC AyushMEN Face Wash 100gm,
8907122007561,VLCC AyushMEN Scrub 50gm,
8907122007578,VLCC AyushMEN Moisturiser 50gm,
8907122007585,VLCC AyushMEN Moisturiser 100gm,
8907122007592,VLCC AyushMEN Shaving Gel 50gm,
8907122007608,VLCC AyushMEN Shaving Cream 70gm,
8907122007615,VLCC AyushMEN Shaving Cream 125gm,
8907122008308,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,
8907122008438,VLCC Ayurveda Multani Mitti Face Pack,
8907122008292,VLCC Ayurveda Youth Miracle Anti Ageing Cream,
8907122008445,VLCC Ayurveda White & Bright Glow Gel Cream,
8907122010196,DeTan + WhiteGlo Moisturising Body Lotion SPF 30 PA+++ 350ml,
8907122006670,Ayurveda Baby Cream,
8907122009206,Ayurveda Baby Cream,
8907122009220,Ayurveda Baby Massage Oil,
8907122006687,Ayurveda Baby Lotion,
8907122009213,Ayurveda Baby Lotion,
8907122006663,Baby Diaper Cream,
8907122009190,Baby Diaper Cream,
8907122006694,Baby Head to Toe Wash,
8907122009022,VLCC Pocket Parfum - Naturel Lime - Unisex,
8907122009039,VLCC Pocket Parfum - Herbal Forest - Woman,
8907122009046,VLCC Pocket Parfum - Floral Garden - Woman,
8907122009053,VLCC Pocket Parfum - Woody Forest - Man,
8907122009060,VLCC Pocket Parfum - Musky Naturel - Man,
8907122009435,VLCC Pocket Parfum–JAR (bulk pack),
8906008459470,VLCC Hair Fall Repair Shampoo-200ml,1075015
8906008459449,VLCC Dandruff Control Shampoo-200ml,1233937
8907122002603,Daily Protect Sun Screen Cream SPF25 100ml,1028398
8906008460957,Slimmers Green Tea with Herbs - ANTIOXIDANT10 packs,
8906008460964,Slimmers Herbal Infusion with Green Tea - SLIMMING10 packs,
