EAN,Item Description,H&B 
8907122008308,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,
8907122008438,VLCC Ayurveda Multani Mitti Face Pack,
8907122008292,VLCC Ayurveda Youth Miracle Anti Ageing Cream,
8907122008445,VLCC Ayurveda White & Bright Glow Gel Cream,
8907122010196,DeTan + WhiteGlo Moisturising Body Lotion SPF 30 PA+++ 350ml,
8907122006670,Ayurveda Baby Cream,
8907122009206,Ayurveda Baby Cream,
8907122009220,Ayurveda Baby Massage Oil,
8907122006687,Ayurveda Baby Lotion,
8907122009213,Ayurveda Baby Lotion,
8907122006663,Baby Diaper Cream,
8907122009190,Baby Diaper Cream,
8907122006694,Baby Head to Toe Wash,
8907122009022,VLCC Pocket Parfum - Naturel Lime - Unisex,
8907122009039,VLCC Pocket Parfum - Herbal Forest - Woman,
8907122009046,VLCC Pocket Parfum - Floral Garden - Woman,
8907122009053,VLCC Pocket Parfum - Woody Forest - Man,
8907122009060,VLCC Pocket Parfum - Musky Naturel - Man,
8907122009435,VLCC Pocket ParfumâJAR (bulk pack),
8906008459470,VLCC Hair Fall Repair Shampoo-200ml,30047118
8906008459449,VLCC Dandruff Control Shampoo-200ml,30047119
8907122002603,Daily Protect Sun Screen Cream SPF25 100ml,30004463
8906008460957,Slimmers Green Tea with Herbs - ANTIOXIDANT10 packs,
8906008460964,Slimmers Herbal Infusion with Green Tea - SLIMMING10 packs,
8906008460971,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF10 packs,
8907122003952,Slimmer's Herbal Inf. with Green Tea (Digestive) 10's,
8907122001972,Slimmers Green Tea with Herbs - ANTIOXIDANT25 packs,
8907122001958,Slimmers Herbal Infusion with Green Tea - SLIMMING25 packs,
8907122001965,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF25 packs,
8907122003969,Slimmer's Herbal Inf. with Green Tea (Digestive) 25's,
8906008451719,Slimmers Honey Dietary Supplement225 gm,
8907122004775,Slimmers Honey Dietary Supplement400 gm,
8907122000982,Slimmers Stevia Herbal Sweetener60 no,
8907122001873,VLCC Daily protect Lip balm Orange 4Gm,30040576
8907122005246,VLCC Enchanting Eyes Kohl Blue.3gm,30055323
8907122005253,VLCC Enchanting Eyes Kohl Green.3gm,30055322
8907122002153,Shape Up Shaping Kit1 Kit,30043423
8907122002771,Shape Up Anti Stretch Mark Cream100 gm,
8907122002788,Shape Up Anti Stretch Mark Cream200 gm,
8906008453133,Shape Up Chin & Neck Firming Cream100 gm,
8906008453096,Shape Up HTA Shaping Gel100 gm,
8907122003945,Slimmers Green Tea with Herbs - ANTIOXIDANT50 packs,
8907122003921,Slimmers Herbal Infusion with Green Tea - SLIMMING50 packs,
8907122003938,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF50 packs,
8907122004812,Slimmers Green Tea with Herbs - ANTIOXIDANT with Stevia50 packs,
8907122004799,Slimmers Herbal Infusion with Green Tea - SLIMMING with Stevia50 packs,
8907122004805,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF with Stevia50 packs,
8907122004782,Slimmers Honey Dietary Supplement125 gm,
8907122002375,YaP Instant Muscle Relaxing & Refreshing Oil100 ml,
8907122002368,YaP Instant Muscle Relaxing & Refreshing Gel150 gm,
8907122002382,YaP Instant Muscle Relaxing & Refreshing Spray100 ml,
8907122003600,YaP Organics - Combi Pack30gm + 30ml,
8907122001149,Gasflush20 Capsules,
8907122001132,Gasflush60 Capsules,
8907122004577,Slimmers Multi Green Muesli Crunchy Nut + Free 25%250 gm,
8907122004362,Slimmers Multi Green Muesli Fruit & Fibre + Free 25%250 gm,
8907122005284,Slimmers Multi Green Muesli Crunchy Nut + Free Honey 125 gm500 gm,
8907122005277,Slimmers Multi Green Muesli Fruit & Fibre + 25% + Free Honey 125 gm500 gm,
8906008453935,Slimmers Isabgol LEMON Flavoured100 gm,
8906008453942,Slimmers Isabgol PINEAPPLE Flavoured100 gm,
8907122001996,Slimmers Roasted Mix SPROUTED125 gm,
8907122001989,VLCC Slimmers Roasted Soyabean150 gm,
8906008453104,Shape Up Bust Firming Cream100 ml,30020092
8906008451818,VLCC SUNSCREEN GEL SPF15 100G,30004451
8906008459272,VLCC Enbrighten Tinted Sunscreen SoufflÃŠ SPF 25-40gm,30040601
8906008459302,VLCC Sweat Free Sun Block Lotion SPF 40-30gm,30040607
8906008454116,VLCC Aloe Vera Body Lotion 200 ml,30027192
8906008458824,VLCC Mulberry Body Lotion â 200ml,30040565
8906008458800,VLCC Almond Body Lotion â 200ml,30040564
8907122003075,VLCC Gold Scrub-80gm,30040588
8907122003082,VLCC Gold Peel Off Mask-80gm,30040589
8907122003051,VLCC Diamond Detoxifying Wash-Off Mask-80gm,30043437
8907122003068,VLCC Diamond Polishing Face Scrub-80gm,30043436
8907122000074,VLCC Anti Aging Face Mask 80 gm,30043435
8906008450842,VLCC Snighda Skin Whitening Face Mask 80gm,30020110
8906008456530,VLCC Silver Facial Kit-6,30047111
8906008456417,VLCC De pigmentation Facial Kit-6,30047112
8907122001064,VLCC ANTI TAN FACIAL KIT 250g,30046836
8907122001071,VLCC PAPAYA FRUIT FACL KT 250g,30046838
8907122001057,VLCC INSTA GLOW FACIAL KT 210g,30046837
8907122000210,Men Active Light Fairness Face Wash 100ml,30047114
8907122000227,Men Active Light Fairness Face Scrub 100gm,30047115
8907122000203,Men Active Light Fairness Moisturiser 100ml,30047116
8907122000975,VLCC Insta Glow Bleach for Men 32.2 gm,
8907122001866,VLCC Daily protect Lip balm Honey 4GM,30040573
8906008456462,VLCC Strawberry Lip Shield 10ML,30017151
8907122004089,VLCC Mens lip Balm 4.5 gm,30053518
8907122004140,VLCC Almond Lip Balm 4.5 gm,
8907122001859,VLCC Daily protect Lip balm Mango 4gm,
8906008460421,VLCC Cacti & Litchi Gentle Hydrating Face Wash-175ml,30040591
8906008460445,VLCC Witch Hazel & Rose Water Gentle Face Wash-175ml,30040593
8906008460452,VLCC Watermelon & Bergamot Gentle Exfoliating Face Wash -175ml,30040594
8906008458961,VLCC Pineapple & Papaya Gentle Exfoliating Scrub-150ml,30040597
